price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,zipcode,renovated,basement
221900.0,3,1.0,-0.3158675348312575,1.0,0.0,0,3,7,-0.7007075541814561,1955,98178,0,0
538000.0,3,2.25,0.01803348707051169,2.0,0.0,0,3,7,0.848643194039659,1951,98125,1,1
180000.0,2,1.0,0.4520688426454968,1.0,0.0,0,3,6,-1.7863473978717623,1933,98028,0,0
604000.0,4,3.0,-0.480257986321875,1.0,0.0,0,5,7,-0.9975609078688212,1965,98136,0,1
510000.0,3,2.0,0.1653104675638642,1.0,0.0,0,3,8,0.19775304386759446,1987,98074,0,0
291850.0,3,1.5,0.4126237460178055,1.0,0.0,0,3,7,-0.9734545516860275,1963,98198,0,0
229500.0,3,1.0,0.05972720458236279,1.0,0.0,0,3,7,-0.9975609078688212,1960,98146,0,1
323000.0,3,2.5,-0.11500243028352343,2.0,0.0,0,3,7,0.4972990410418719,2003,98038,0,0
662500.0,3,2.5,0.4243458051227845,1.0,0.0,0,3,8,0.45660694835603566,1965,98007,0,1
468000.0,2,1.0,-0.2350239528215393,1.0,0.0,0,4,7,-1.505217133126252,1942,98115,0,1
310000.0,3,1.0,1.3777210750252205,1.5,0.0,0,4,7,-0.21200593232330367,1927,98028,0,0
400000.0,3,1.75,0.40832309132288674,1.0,0.0,0,4,7,-0.32101697126493495,1977,98074,0,0
530000.0,5,2.0,-0.5212275482324309,1.5,0.0,0,3,7,0.3873056158334583,1900,98107,0,0
650000.0,4,3.0,-0.480257986321875,2.0,0.0,1,3,9,0.6156088162506722,1979,98126,0,1
395000.0,3,2.0,0.90848285547642,2.0,0.0,0,3,7,0.4972990410418719,1994,98019,0,0
485000.0,4,1.0,-0.6831243189935979,1.5,0.0,0,4,7,0.07366982341922478,1916,98103,0,0
230000.0,3,1.0,0.4213216451939627,1.0,0.0,0,4,7,-0.554145105907662,1969,98003,0,0
385000.0,4,1.75,-0.4856490287798181,1.0,0.0,0,4,7,-1.505217133126252,1947,98133,0,1
285000.0,5,2.5,-0.16939809395540745,2.0,0.0,0,3,8,0.963221198166824,1995,98092,0,0
252700.0,2,1.5,0.4031719861474853,1.0,0.0,0,3,7,-0.9495745496074124,1985,98030,0,0
329000.0,3,2.25,-0.1273614448864347,2.0,0.0,0,4,8,1.1572883119607444,1985,98030,0,0
233000.0,3,2.0,-0.5643431457404514,1.5,0.0,0,5,6,0.2427666355300675,1941,98002,0,0
937000.0,3,1.75,-1.3135583774237538,2.0,0.0,0,3,8,0.3015716030265412,1915,98119,0,1
667000.0,3,1.0,-2.0289374366310393,1.5,0.0,0,5,8,-0.2659274193829877,1909,98112,0,0
438000.0,3,1.75,-0.15242546127438347,1.0,0.0,0,3,7,-1.7211335289538887,1948,98115,0,1
719000.0,4,2.5,0.005156612144739345,2.0,0.0,0,3,8,1.2788988034483297,2005,98052,0,0
580500.0,3,2.5,-0.7871423721933857,2.0,0.0,0,3,8,1.0186308307912288,2003,98027,0,0
280000.0,2,1.5,-2.3288669614520967,3.0,0.0,0,3,7,-0.6792458104807518,2005,98133,0,0
687500.0,4,1.75,-0.480257986321875,1.5,0.0,0,4,7,-0.07356623141017259,1929,98117,0,1
535000.0,3,1.0,-1.167350781788911,1.5,0.0,0,4,8,-0.9024768788839408,1929,98117,0,0
322500.0,4,2.75,-0.09485510360880146,1.0,0.0,0,3,7,-0.4938291989903041,1981,98058,0,1
696000.0,3,2.5,-1.1407149947150093,1.5,0.0,0,3,8,-0.07356623141017259,1930,98115,1,1
550000.0,4,1.0,2.131260187152775,1.0,0.0,0,1,5,-1.3062060257899089,1933,98052,0,1
640000.0,4,2.0,-0.2350239528215393,2.0,0.0,0,4,8,1.0621054199644884,1904,98107,0,0
240000.0,4,1.0,0.16447786877984033,1.0,0.0,0,2,7,-1.4180131087937182,1969,98001,0,1
605000.0,4,2.5,0.07458993362661157,2.0,0.0,0,3,8,1.3279022759007575,1996,98056,0,0
625000.0,4,2.5,-0.3471774942866314,2.0,0.0,0,3,9,1.2788988034483297,2000,98074,0,0
775000.0,4,2.25,1.6400137591955242,1.0,0.0,0,3,8,1.308414046165471,1984,98166,0,1
685000.0,3,1.0,-1.5364857090899704,2.0,0.0,0,3,7,0.025532079608450112,1922,98119,0,0
309000.0,3,1.0,0.40498408267570496,1.0,0.0,0,4,6,-1.3337003642297163,1959,98058,0,1
488000.0,3,2.5,0.865951897742651,2.0,0.0,0,3,8,1.8044924193380003,2003,98019,0,0
210490.0,3,1.0,0.23789411115191686,1.0,0.0,0,3,6,-1.1472041578952723,1966,98023,0,0
785000.0,4,2.5,0.8473330849095546,2.0,0.0,0,4,9,0.9855301266194118,1981,98007,0,0
450000.0,3,1.75,-0.2433441903066853,1.0,0.0,0,4,7,-0.554145105907662,1953,98115,0,0
228000.0,3,1.0,0.3397690907022267,1.0,0.0,0,3,7,-0.6792458104807518,1955,98148,0,0
345000.0,5,2.5,0.33023115579001205,1.0,0.0,0,4,8,0.13646811368234368,1966,98056,0,1
600000.0,3,1.75,-0.7537643991098161,1.0,0.0,0,4,7,-1.121644128317191,1950,98117,0,1
585000.0,2,1.75,0.24135955310142393,1.0,0.0,0,3,7,-1.1472041578952723,1981,98117,0,1
920000.0,5,2.25,-0.2350239528215393,1.5,0.0,0,3,8,0.8013264517736424,1927,98105,0,1
885000.0,4,2.5,-0.480257986321875,2.0,0.0,0,3,9,1.5239892024368378,1995,98105,0,0
292500.0,4,2.5,-0.6234698940978511,2.0,0.0,0,3,7,0.9407148430030311,2008,98042,0,0
301000.0,3,2.5,-0.549250713761095,2.0,0.0,0,3,8,1.1259548371430936,2003,98042,0,0
951000.0,5,3.25,0.937108353744192,2.0,0.0,1,4,8,1.8759130685749974,1968,98008,0,0
430000.0,4,3.0,0.44883681075165016,2.0,0.0,0,3,8,0.4428969338284714,1991,98059,0,0
650000.0,3,2.25,1.464989833346357,1.0,0.0,1,4,8,0.05772493397408358,1959,98166,0,1
289000.0,3,1.75,0.21755250164978582,1.0,0.0,0,3,7,-0.5338804446182391,1954,98148,0,0
505000.0,3,1.75,0.26320560884072325,2.0,0.0,0,5,8,1.227923122276584,1973,98166,0,0
549000.0,3,1.75,-2.58713610544544,3.0,0.0,0,3,8,-0.02353442372581766,2014,98115,0,0
